RUN_ID	MODE	STOPWORDS	MIN_FREQ	MIN_PMI	MAP	POSTINGS_COST	DICT_SIZE	TERMS_SIZE	NGRAMS	AVGDL	SUMDF
20250821_164812_phrases_english_-1_4_7	phrases	english	4	7	0.2619	995.6106	3904	117509	950	83.935	77710
20250821_164920_phrases_english_-1_4_8	phrases	english	4	8	0.2888	1154.2212	3584	122735	630	87.66785714285714	78610
20250821_165029_phrases_english_-1_4_9	phrases	english	4	9	0.2954	1215.1416	3346	125792	390	89.85142857142857	79288
20250821_165136_phrases_english_-1_4_10	phrases	english	4	10	0.3059	1234.2212	3205	127524	245	91.08857142857143	79810
20250821_165242_phrases_english_-1_4_11	phrases	english	4	11	0.3089	1238.7345	3106	128280	141	91.62857142857143	80077
20250821_165349_phrases_english_-1_4_12	phrases	english	4	12	0.3090	1240.5929	3044	128816	74	92.01142857142857	80251
20250821_165453_phrases_english_-1_4_13	phrases	english	4	13	0.3096	1241.1239	3006	129079	34	92.19928571428571	80351
20250821_165558_phrases_english_-1_4_14	phrases	english	4	14	0.3096	1241.1416	2989	129185	14	92.275	80400
20250821_165701_phrases_english_-1_4_15	phrases	english	4	15	0.3096	1241.1416	2981	129248	2	92.32	80420
20250821_165805_phrases_english_-1_4_16	phrases	english	4	16	0.3096	1241.1416	2980	129255	0	92.325	80420
20250821_165906_phrases_english_-1_4_17	phrases	english	4	17	0.3096	1241.1416	2980	129255	0	92.325	80420
20250821_170006_phrases_english_-1_4_24	phrases	english	4	24	0.3096	1241.1416	2980	129255	0	92.325	80420
20250821_170109_phrases_english_-1_4_48	phrases	english	4	48	0.3096	1241.1416	2980	129255	0	92.325	80420
20250821_170210_phrases_english_-1_5_0	phrases	english	5	0	0.2106	556.6018	4365	108248	1765	77.32	76546
20250821_170321_phrases_english_-1_5_1	phrases	english	5	1	0.2125	564.1416	4352	108267	1752	77.33357142857143	76440
20250821_170431_phrases_english_-1_5_2	phrases	english	5	2	0.2123	569.9381	4304	108355	1704	77.39642857142857	76213
20250821_170537_phrases_english_-1_5_3	phrases	english	5	3	0.2122	591.6460	4228	108681	1628	77.62928571428571	76144
