RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF,p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_164440_phrases_english_-1_4_4,phrases,english,4,4,0.1986,611.9286,4969,109698,2015,78.3557142857143,77107,0.00000000857770862513633,4.35260167431515E-032,TRUE,TRUE
20250821_164552_phrases_english_-1_4_5,phrases,english,4,5,0.2035,731.6429,4654,111616,1700,79.7257142857143,77189,0.0000000447937451756782,2.43784212360536E-030,TRUE,TRUE
20250821_164704_phrases_english_-1_4_6,phrases,english,4,6,0.2142,875.5357,4250,114239,1297,81.5992857142857,77437,0.0000780842366265828,2.43784212360536E-030,TRUE,TRUE
20250821_164812_phrases_english_-1_4_7,phrases,english,4,7,0.2291,981.9464,3904,117509,950,83.935,77710,0.00082145253889575,5.41566804944486E-026,TRUE,TRUE
20250821_164920_phrases_english_-1_4_8,phrases,english,4,8,0.2527,1157.8304,3584,122735,630,87.6678571428571,78610,0.0594005369034334,4.08537258056615E-019,FALSE,TRUE
20250821_165029_phrases_english_-1_4_9,phrases,english,4,9,0.263,1233.0982,3346,125792,390,89.8514285714286,79288,0.129292583953573,0.00000945104578240805,FALSE,TRUE
20250821_165136_phrases_english_-1_4_10,phrases,english,4,10,0.2697,1261.2054,3205,127524,245,91.0885714285714,79810,0.837556070729074,0.849550187314453,FALSE,FALSE
20250821_165242_phrases_english_-1_4_11,phrases,english,4,11,0.2738,1265.8661,3106,128280,141,91.6285714285714,80077,0.917923067315743,0.569220227803576,FALSE,FALSE
20250821_165349_phrases_english_-1_4_12,phrases,english,4,12,0.2789,1267.6071,3044,128816,74,92.0114285714286,80251,0.606295937693965,0.342580582571899,FALSE,FALSE
20250821_165453_phrases_english_-1_4_13,phrases,english,4,13,0.2799,1268.1161,3006,129079,34,92.1992857142857,80351,0.304885190702276,0.183657171901775,FALSE,FALSE
20250821_165558_phrases_english_-1_4_14,phrases,english,4,14,0.2779,1268.2589,2989,129185,14,92.275,80400,0.100173330486756,0.183657171901775,FALSE,FALSE
20250821_165701_phrases_english_-1_4_15,phrases,english,4,15,0.2779,1268.2946,2981,129248,2,92.32,80420,0.100173330486756,0.183657171901775,FALSE,FALSE
20250821_165805_phrases_english_-1_4_16,phrases,english,4,16,0.2779,1268.2946,2980,129255,0,92.325,80420,0.100173330486756,0.183657171901775,FALSE,FALSE
20250821_165906_phrases_english_-1_4_17,phrases,english,4,17,0.2779,1268.2946,2980,129255,0,92.325,80420,0.100173330486756,0.183657171901775,FALSE,FALSE
20250821_170006_phrases_english_-1_4_24,phrases,english,4,24,0.2779,1268.2946,2980,129255,0,92.325,80420,0.100173330486756,0.183657171901775,FALSE,FALSE
20250821_170109_phrases_english_-1_4_48,phrases,english,4,48,0.2779,1268.2946,2980,129255,0,92.325,80420,0.100173330486756,0.183657171901775,FALSE,FALSE
20250821_170210_phrases_english_-1_5_0,phrases,english,5,0,0.1969,510.0536,4365,108248,1765,77.32,76546,0.00000000548986844623981,4.35260167431515E-032,TRUE,TRUE
