RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF, p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_185716_phrases_english_-1_10_5,phrases,english,10,5,0.2437,771.5929,2220,110076,501,78.6257142857143,72645,0.000000251941251463062,2.43784212360536E-030,TRUE,TRUE
20250821_185821_phrases_english_-1_10_6,phrases,english,10,6,0.2579,871.0088,2108,111644,389,79.7457142857143,72756,0.00103293562163568,9.02294327085531E-029,TRUE,TRUE
20250821_185928_phrases_english_-1_10_7,phrases,english,10,7,0.2687,1012.4071,1992,114024,273,81.4457142857143,72840,0.0408719706077548,4.26087014457546E-021,TRUE,TRUE
20250821_190034_phrases_english_-1_10_8,phrases,english,10,8,0.2945,1160.0354,1878,118417,159,84.5835714285714,73574,0.772988529598534,0.0000193804840936641,FALSE,TRUE
20250821_190141_phrases_english_-1_10_9,phrases,english,10,9,0.2965,1214.4336,1810,120744,91,86.2457142857143,74083,0.770918990937114,0.849550187314453,FALSE,FALSE
20250821_190246_phrases_english_-1_10_10,phrases,english,10,10,0.3012,1231,1770,121970,51,87.1214285714286,74476,0.435114494892302,0.254605123093794,FALSE,FALSE
20250821_190350_phrases_english_-1_10_11,phrases,english,10,11,0.305,1234.2212,1744,122397,25,87.4264285714286,74639,0.696467662991676,0.0363064911413178,FALSE,TRUE
20250821_190454_phrases_english_-1_10_12,phrases,english,10,12,0.3065,1235.823,1726,122699,7,87.6421428571429,74751,0.496754393028946,0.00758481177543162,FALSE,TRUE
20250821_190557_phrases_english_-1_10_13,phrases,english,10,13,0.308,1236.1327,1721,122801,1,87.715,74797,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_190658_phrases_english_-1_10_14,phrases,english,10,14,0.308,1236.1327,1720,122814,0,87.7242857142857,74805,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_190800_phrases_english_-1_10_15,phrases,english,10,15,0.308,1236.1327,1720,122814,0,87.7242857142857,74805,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_190901_phrases_english_-1_10_16,phrases,english,10,16,0.308,1236.1327,1720,122814,0,87.7242857142857,74805,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_191001_phrases_english_-1_10_17,phrases,english,10,17,0.308,1236.1327,1720,122814,0,87.7242857142857,74805,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_191102_phrases_english_-1_10_24,phrases,english,10,24,0.308,1236.1327,1720,122814,0,87.7242857142857,74805,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_191204_phrases_english_-1_10_48,phrases,english,10,48,0.308,1236.1327,1720,122814,0,87.7242857142857,74805,0.627430977078634,0.00758481177543162,FALSE,TRUE
20250821_191305_phrases_english_-1_11_0,phrases,english,11,0,0.2456,674.3717,2199,107573,569,76.8378571428572,72070,0.000000377805349708947,4.35260167431515E-032,TRUE,TRUE
20250821_191412_phrases_english_-1_11_1,phrases,english,11,1,0.2452,676.7699,2197,107573,567,76.8378571428572,72004,0.000000377805349708947,4.35260167431515E-032,TRUE,TRUE
20250821_191518_phrases_english_-1_11_2,phrases,english,11,2,0.2457,684.1504,2191,107616,561,76.8685714285714,71976,0.000000126077153217177,4.35260167431515E-032,TRUE,TRUE
20250821_191623_phrases_english_-1_11_3,phrases,english,11,3,0.2463,688.7257,2173,107741,543,76.9578571428571,71932,0.000000377805349708947,4.35260167431515E-032,TRUE,TRUE
20250821_191730_phrases_english_-1_11_4,phrases,english,11,4,0.2539,710.3805,2128,108308,498,77.3628571428571,71872,0.00000295584929309017,2.43784212360536E-030,TRUE,TRUE
20250821_191837_phrases_english_-1_11_5,phrases,english,11,5,0.2538,781.4602,2065,109381,435,78.1292857142857,71865,0.0000135572044825515,9.02294327085531E-029,TRUE,TRUE
20250821_191942_phrases_english_-1_11_6,phrases,english,11,6,0.2662,877.9646,1971,110817,341,79.155,71977,0.00203316953130913,2.48255027614838E-027,TRUE,TRUE
20250821_192050_phrases_english_-1_11_7,phrases,english,11,7,0.2772,1019.9558,1868,113100,238,80.7857142857143,72052,0.0147794105170384,3.44662618507417E-018,TRUE,TRUE
20250821_192157_phrases_english_-1_11_8,phrases,english,11,8,0.2978,1164.2832,1769,117377,139,83.8407142857143,72755,1,0.0000232626705010725,FALSE,TRUE
20250821_192305_phrases_english_-1_11_9,phrases,english,11,9,0.2994,1218.4248,1709,119653,79,85.4664285714286,73262,0.439440101779083,0.924775093657227,FALSE,FALSE
20250821_192411_phrases_english_-1_11_10,phrases,english,11,10,0.304,1234.8142,1675,120836,45,86.3114285714286,73640,0.329137126166139,0.508513179973663,FALSE,FALSE
20250821_192514_phrases_english_-1_11_11,phrases,english,11,11,0.3066,1238.0354,1651,121253,21,86.6092857142857,73802,0.558394291165591,0.107782279654754,FALSE,FALSE
20250821_192619_phrases_english_-1_11_12,phrases,english,11,12,0.3083,1239.6991,1636,121524,6,86.8028571428572,73896,0.38212581052922,0.0293022229716328,FALSE,TRUE
20250821_192722_phrases_english_-1_11_13,phrases,english,11,13,0.3095,1240.0088,1632,121616,1,86.8685714285714,73940,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_192826_phrases_english_-1_11_14,phrases,english,11,14,0.3095,1240.0088,1631,121629,0,86.8778571428571,73948,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_192926_phrases_english_-1_11_15,phrases,english,11,15,0.3095,1240.0088,1631,121629,0,86.8778571428571,73948,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_193028_phrases_english_-1_11_16,phrases,english,11,16,0.3095,1240.0088,1631,121629,0,86.8778571428571,73948,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_193130_phrases_english_-1_11_17,phrases,english,11,17,0.3095,1240.0088,1631,121629,0,86.8778571428571,73948,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_193231_phrases_english_-1_11_24,phrases,english,11,24,0.3095,1240.0088,1631,121629,0,86.8778571428571,73948,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_193332_phrases_english_-1_11_48,phrases,english,11,48,0.3095,1240.0088,1631,121629,0,86.8778571428571,73948,0.496754393028946,0.0293022229716328,FALSE,TRUE
20250821_193434_phrases_english_-1_16_0,phrases,english,16,0,0.2566,736.9823,1636,105876,341,75.6257142857143,69335,0.0000655037079248005,9.7567866938747E-025,TRUE,TRUE
20250821_193542_phrases_english_-1_16_1,phrases,english,16,1,0.2566,738.3982,1635,105876,340,75.6257142857143,69280,0.0000655037079248005,9.7567866938747E-025,TRUE,TRUE
20250821_193650_phrases_english_-1_16_2,phrases,english,16,2,0.2574,748.354,1632,105914,337,75.6528571428571,69255,0.000149097468127496,9.7567866938747E-025,TRUE,TRUE
20250821_193800_phrases_english_-1_16_3,phrases,english,16,3,0.2568,751.0088,1626,105979,331,75.6992857142857,69229,0.0000655037079248005,9.7567866938747E-025,TRUE,TRUE
20250821_193906_phrases_english_-1_16_4,phrases,english,16,4,0.2653,764.8584,1601,106384,306,75.9885714285714,69176,0.000271817752202842,1.0650640214744E-022,TRUE,TRUE
20250821_194014_phrases_english_-1_16_5,phrases,english,16,5,0.2652,835.7611,1561,107293,266,76.6378571428571,69150,0.000237468014627488,2.31451148428466E-021,TRUE,TRUE
20250821_194123_phrases_english_-1_16_6,phrases,english,16,6,0.2791,925.3363,1510,108396,215,77.4257142857143,69226,0.0842215748967002,1.50147340225641E-017,FALSE,TRUE
20250821_194231_phrases_english_-1_16_7,phrases,english,16,7,0.2919,1051.9912,1444,110382,149,78.8442857142857,69303,0.333705116197439,0.00000000000193144963207924,FALSE,TRUE
20250821_194338_phrases_english_-1_16_8,phrases,english,16,8,0.3115,1195.7522,1376,114387,81,81.705,69972,0.333705116197439,0.00419553418539486,FALSE,TRUE
20250821_194444_phrases_english_-1_16_9,phrases,english,16,9,0.3109,1246.8938,1338,116428,43,83.1628571428572,70454,0.92194882762643,1,FALSE,FALSE
20250821_194552_phrases_english_-1_16_10,phrases,english,16,10,0.3117,1260.9292,1315,117488,20,83.92,70823,1,0.395193357357824,FALSE,FALSE
20250821_194658_phrases_english_-1_16_11,phrases,english,16,11,0.3139,1262.8584,1303,117767,8,84.1192857142857,70932,0.768791810138672,0.219131147497785,FALSE,FALSE
20250821_194805_phrases_english_-1_16_12,phrases,english,16,12,0.3148,1263.6903,1297,117934,2,84.2385714285714,70985,0.845370318882552,0.156066301993767,FALSE,FALSE
20250821_194908_phrases_english_-1_16_13,phrases,english,16,13,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195009_phrases_english_-1_16_14,phrases,english,16,14,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195111_phrases_english_-1_16_15,phrases,english,16,15,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195213_phrases_english_-1_16_16,phrases,english,16,16,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195317_phrases_english_-1_16_17,phrases,english,16,17,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195420_phrases_english_-1_16_24,phrases,english,16,24,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195523_phrases_english_-1_16_48,phrases,english,16,48,0.3162,1264,1296,117990,0,84.2785714285714,71021,0.696467662991676,0.156066301993767,FALSE,FALSE
20250821_195625_phrases_english_-1_24_0,phrases,english,24,0,0.2625,818.8142,1164,102808,188,73.4342857142857,65298,0.00589017298041324,8.47115787206474E-018,TRUE,TRUE
20250821_195736_phrases_english_-1_24_1,phrases,english,24,1,0.2625,818.8142,1164,102808,188,73.4342857142857,65298,0.00589017298041324,8.47115787206474E-018,TRUE,TRUE
20250821_195846_phrases_english_-1_24_2,phrases,english,24,2,0.2642,828.7434,1163,102829,187,73.4492857142857,65298,0.010409209767129,8.47115787206474E-018,TRUE,TRUE
20250821_195955_phrases_english_-1_24_3,phrases,english,24,3,0.2644,830.2655,1160,102878,184,73.4842857142857,65300,0.010409209767129,8.47115787206474E-018,TRUE,TRUE
20250821_200110_phrases_english_-1_24_4,phrases,english,24,4,0.2703,841.4071,1149,103170,173,73.6928571428571,65267,0.0293022229716328,2.54495991808161E-015,TRUE,TRUE
20250821_200223_phrases_english_-1_24_5,phrases,english,24,5,0.2692,906.4956,1130,103803,154,74.145,65236,0.104613058111267,0.000000000000404569302115881,FALSE,TRUE
20250821_200336_phrases_english_-1_24_6,phrases,english,24,6,0.2787,980.0531,1104,104578,128,74.6985714285714,65277,0.633755648019159,0.000000000148849064758034,FALSE,TRUE
20250821_200446_phrases_english_-1_24_7,phrases,english,24,7,0.2896,1093.0265,1059,106255,83,75.8964285714286,65345,0.848194783596566,0.0000000234061329358168,FALSE,TRUE
20250821_200555_phrases_english_-1_24_8,phrases,english,24,8,0.3071,1224.9823,1017,109871,41,78.4792857142857,65953,0.0549088177757602,0.156066301993767,FALSE,FALSE
20250821_200704_phrases_english_-1_24_9,phrases,english,24,9,0.3078,1273.3274,997,111630,21,79.7357142857143,66378,0.630633834530832,0.219131147497785,FALSE,FALSE
20250821_200814_phrases_english_-1_24_10,phrases,english,24,10,0.3069,1285.885,987,112484,11,80.3457142857143,66677,0.846802075189195,0.0721263862351752,FALSE,FALSE
20250821_200922_phrases_english_-1_24_11,phrases,english,24,11,0.3059,1286.1062,982,112649,6,80.4635714285714,66753,0.846802075189195,0.0721263862351752,FALSE,FALSE
20250821_201030_phrases_english_-1_24_12,phrases,english,24,12,0.3078,1287,978,112780,2,80.5571428571429,66795,0.846802075189195,0.0721263862351752,FALSE,FALSE
20250821_201135_phrases_english_-1_24_13,phrases,english,24,13,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201240_phrases_english_-1_24_14,phrases,english,24,14,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201345_phrases_english_-1_24_15,phrases,english,24,15,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201450_phrases_english_-1_24_16,phrases,english,24,16,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201555_phrases_english_-1_24_17,phrases,english,24,17,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201658_phrases_english_-1_24_24,phrases,english,24,24,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201803_phrases_english_-1_24_48,phrases,english,24,48,0.3089,1287.3097,977,112836,0,80.5971428571429,66831,0.699174984007875,0.0721263862351752,FALSE,FALSE
20250821_201908_phrases_english_-1_48_0,phrases,english,48,0,0.2776,982.8053,618,92510,63,66.0785714285714,55513,0.152337806060252,0.00000000000193144963207924,FALSE,TRUE
20250821_202024_phrases_english_-1_48_1,phrases,english,48,1,0.2776,982.8053,618,92510,63,66.0785714285714,55513,0.152337806060252,0.00000000000193144963207924,FALSE,TRUE
20250821_202142_phrases_english_-1_48_2,phrases,english,48,2,0.2776,982.8053,618,92510,63,66.0785714285714,55513,0.152337806060252,0.00000000000193144963207924,FALSE,TRUE
20250821_202259_phrases_english_-1_48_3,phrases,english,48,3,0.2776,982.8053,618,92510,63,66.0785714285714,55513,0.152337806060252,0.00000000000193144963207924,FALSE,TRUE
20250821_202413_phrases_english_-1_48_4,phrases,english,48,4,0.2776,982.8053,618,92510,63,66.0785714285714,55513,0.152337806060252,0.00000000000193144963207924,FALSE,TRUE
20250821_202530_phrases_english_-1_48_5,phrases,english,48,5,0.2785,1028.8496,611,92907,56,66.3621428571429,55483,0.183657171901775,0.000000000568394137241148,FALSE,TRUE
20250821_202647_phrases_english_-1_48_6,phrases,english,48,6,0.2822,1084.7522,602,93339,47,66.6707142857143,55518,0.254605123093794,0.00000000206197459528103,FALSE,TRUE
20250821_202803_phrases_english_-1_48_7,phrases,english,48,7,0.2906,1161.4159,586,94404,31,67.4314285714286,55504,1,0.0000114615987477833,FALSE,TRUE
20250821_202916_phrases_english_-1_48_8,phrases,english,48,8,0.2976,1269.8407,571,97345,16,69.5321428571429,56013,0.772988529598534,0.0467350681939599,FALSE,TRUE
20250821_203024_phrases_english_-1_48_9,phrases,english,48,9,0.2966,1309.9558,563,98696,8,70.4971428571429,56334,0.923401037594597,0.850869922513451,FALSE,FALSE
20250821_203132_phrases_english_-1_48_10,phrases,english,48,10,0.2943,1321.708,557,99461,2,71.0435714285714,56596,0.923401037594597,0.258862000165316,FALSE,FALSE
20250821_203239_phrases_english_-1_48_11,phrases,english,48,11,0.2942,1321.708,556,99507,1,71.0764285714286,56613,1,0.258862000165316,FALSE,FALSE
20250821_203347_phrases_english_-1_48_12,phrases,english,48,12,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_203453_phrases_english_-1_48_13,phrases,english,48,13,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_203559_phrases_english_-1_48_14,phrases,english,48,14,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_203706_phrases_english_-1_48_15,phrases,english,48,15,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_203811_phrases_english_-1_48_16,phrases,english,48,16,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_203918_phrases_english_-1_48_17,phrases,english,48,17,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_204023_phrases_english_-1_48_24,phrases,english,48,24,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_204131_phrases_english_-1_48_48,phrases,english,48,48,0.2946,1322.1681,555,99562,0,71.1157142857143,56633,1,0.258862000165316,FALSE,FALSE
20250821_204309_phrases_none_-1_0_0,phrases,none,0,0,0.0993,933.6637,39156,138456,36189,98.8971428571429,116154,1.25629706703917E-021,1.92592994438724E-034,TRUE,TRUE
20250821_204450_phrases_none_-1_0_1,phrases,none,0,1,0.1054,1686.5221,36615,146196,33656,104.425714285714,118449,2.31451148428466E-021,1.24068407017426E-030,TRUE,TRUE
20250821_204636_phrases_none_-1_0_2,phrases,none,0,2,0.1208,2962.354,32862,161095,29874,115.067857142857,113754,1.50147340225641E-017,1.28638985442847E-027,TRUE,TRUE
20250821_204825_phrases_none_-1_0_3,phrases,none,0,3,0.1412,3708.4336,29367,173800,26208,124.142857142857,110264,0.0000000000000128976556471647,1.24068407017426E-030,TRUE,TRUE
20250821_205007_phrases_none_-1_0_4,phrases,none,0,4,0.1428,4640.7965,25669,184408,22135,131.72,107278,1.07559596722483E-016,5.14917674940959E-025,TRUE,TRUE
20250821_205141_phrases_none_-1_0_5,phrases,none,0,5,0.1673,5206.646,21936,194966,18011,139.261428571429,107632,0.000000000000674813608304086,2.83196153852985E-026,TRUE,TRUE
20250821_205320_phrases_none_-1_0_6,phrases,none,0,6,0.1875,5698.3982,18408,204757,13949,146.255,108698,0.0000000000376517733632375,1.28638985442847E-027,TRUE,TRUE
20250821_205451_phrases_none_-1_0_7,phrases,none,0,7,0.2226,6066.2389,15334,213775,10616,152.696428571429,110874,0.000505034391530242,2.83196153852985E-026,TRUE,TRUE
20250821_205616_phrases_none_-1_0_8,phrases,none,0,8,0.2418,6397.2389,12779,223412,7754,159.58,113556,0.0644635919894938,1.07691682200048E-018,FALSE,TRUE
20250821_205721_phrases_none_-1_0_9,phrases,none,0,9,0.2621,6476.8142,10740,229264,5458,163.76,115465,0.845370318882552,4.09872814875553E-016,FALSE,TRUE
20250821_205835_phrases_none_-1_0_10,phrases,none,0,10,0.2701,6503.2478,9304,233199,3679,166.570714285714,117070,0.28069032903418,6.12871653725238E-017,FALSE,TRUE
20250821_205947_phrases_none_-1_0_11,phrases,none,0,11,0.2698,6498.4513,8316,235477,2391,168.197857142857,118117,0.141793374544747,6.15627306592767E-018,FALSE,TRUE
20250821_210056_phrases_none_-1_0_12,phrases,none,0,12,0.2754,6498.5133,7705,237034,1514,169.31,118872,0.342833119420788,2.52486203794193E-016,FALSE,TRUE
