RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF
20250821_164704_phrases_english_-1_4_6,phrases,english,4,6,0.2195,863.5956,4250,114239,1297,81.5992857142857,77437
20250821_164812_phrases_english_-1_4_7,phrases,english,4,7,0.2465,994.1956,3904,117509,950,83.935,77710
20250821_164920_phrases_english_-1_4_8,phrases,english,4,8,0.2703,1157.7733,3584,122735,630,87.6678571428571,78610
20250821_165029_phrases_english_-1_4_9,phrases,english,4,9,0.2796,1224.16,3346,125792,390,89.8514285714286,79288
20250821_165136_phrases_english_-1_4_10,phrases,english,4,10,0.287,1248.1289,3205,127524,245,91.0885714285714,79810
20250821_165242_phrases_english_-1_4_11,phrases,english,4,11,0.291,1252.4222,3106,128280,141,91.6285714285714,80077
20250821_165349_phrases_english_-1_4_12,phrases,english,4,12,0.294,1254.04,3044,128816,74,92.0114285714286,80251
20250821_165453_phrases_english_-1_4_13,phrases,english,4,13,0.2948,1254.56,3006,129079,34,92.1992857142857,80351
20250821_165558_phrases_english_-1_4_14,phrases,english,4,14,0.2938,1254.64,2989,129185,14,92.275,80400
20250821_165701_phrases_english_-1_4_15,phrases,english,4,15,0.2938,1254.6578,2981,129248,2,92.32,80420
20250821_165805_phrases_english_-1_4_16,phrases,english,4,16,0.2938,1254.6578,2980,129255,0,92.325,80420
20250821_165906_phrases_english_-1_4_17,phrases,english,4,17,0.2938,1254.6578,2980,129255,0,92.325,80420
20250821_170006_phrases_english_-1_4_24,phrases,english,4,24,0.2938,1254.6578,2980,129255,0,92.325,80420
20250821_170109_phrases_english_-1_4_48,phrases,english,4,48,0.2938,1254.6578,2980,129255,0,92.325,80420
20250821_170210_phrases_english_-1_5_0,phrases,english,5,0,0.2001,543.2089,4365,108248,1765,77.32,76546
20250821_170321_phrases_english_-1_5_1,phrases,english,5,1,0.2026,559.76,4352,108267,1752,77.3335714285714,76440
20250821_170431_phrases_english_-1_5_2,phrases,english,5,2,0.2037,573.04,4304,108355,1704,77.3964285714286,76213
20250821_170537_phrases_english_-1_5_3,phrases,english,5,3,0.2056,596.12,4228,108681,1628,77.6292857142857,76144
20250821_170644_phrases_english_-1_5_4,phrases,english,5,4,0.2156,634.8933,4068,109670,1468,78.3357142857143,76123
20250821_170757_phrases_english_-1_5_5,phrases,english,5,5,0.2173,725.4356,3835,111400,1235,79.5714285714286,76183
20250821_170908_phrases_english_-1_5_6,phrases,english,5,6,0.2309,857.5511,3536,113742,936,81.2442857142857,76390
20250821_171021_phrases_english_-1_5_7,phrases,english,5,7,0.2538,984.3911,3280,116753,680,83.395,76603
20250821_171130_phrases_english_-1_5_8,phrases,english,5,8,0.2713,1145.12,3035,121771,435,86.9792857142857,77476
20250821_171244_phrases_english_-1_5_9,phrases,english,5,9,0.2818,1208.6,2870,124598,270,88.9985714285714,78102
20250821_171401_phrases_english_-1_5_10,phrases,english,5,10,0.2888,1232.2356,2768,126202,166,90.1442857142857,78608
20250821_171511_phrases_english_-1_5_11,phrases,english,5,11,0.2923,1236.3244,2702,126846,97,90.6042857142857,78836
20250821_171623_phrases_english_-1_5_12,phrases,english,5,12,0.2926,1237.8311,2656,127310,49,90.9357142857143,79002
20250821_171734_phrases_english_-1_5_13,phrases,english,5,13,0.294,1238.1689,2632,127516,23,91.0828571428571,79084
20250821_171844_phrases_english_-1_5_14,phrases,english,5,14,0.2936,1238.24,2621,127595,10,91.1392857142857,79117
20250821_171954_phrases_english_-1_5_15,phrases,english,5,15,0.2935,1238.2578,2615,127645,1,91.175,79132
20250821_172103_phrases_english_-1_5_16,phrases,english,5,16,0.2935,1238.2578,2614,127648,0,91.1771428571429,79131
20250821_172207_phrases_english_-1_5_17,phrases,english,5,17,0.2935,1238.2578,2614,127648,0,91.1771428571429,79131
20250821_172308_phrases_english_-1_5_24,phrases,english,5,24,0.2935,1238.2578,2614,127648,0,91.1771428571429,79131
20250821_172410_phrases_english_-1_5_48,phrases,english,5,48,0.2935,1238.2578,2614,127648,0,91.1771428571429,79131
20250821_172511_phrases_english_-1_6_0,phrases,english,6,0,0.2187,592.0533,3704,108857,1354,77.755,75943
20250821_172620_phrases_english_-1_6_1,phrases,english,6,1,0.2199,602.5467,3696,108863,1346,77.7592857142857,75853
20250821_172728_phrases_english_-1_6_2,phrases,english,6,2,0.22,612.0844,3664,108937,1314,77.8121428571429,75682
20250821_172837_phrases_english_-1_6_3,phrases,english,6,3,0.2218,630.9511,3609,109185,1259,77.9892857142857,75616
20250821_172945_phrases_english_-1_6_4,phrases,english,6,4,0.23,667.9333,3490,110059,1140,78.6135714285714,75586
20250821_173055_phrases_english_-1_6_5,phrases,english,6,5,0.2286,752.7378,3326,111572,976,79.6942857142857,75634
20250821_173203_phrases_english_-1_6_6,phrases,english,6,6,0.2452,876.2889,3090,113712,740,81.2228571428571,75810
20250821_173311_phrases_english_-1_6_7,phrases,english,6,7,0.2606,1000.4489,2883,116571,533,83.265,76015
20250821_173420_phrases_english_-1_6_8,phrases,english,6,8,0.2758,1157.88,2686,121408,336,86.72,76833
20250821_173529_phrases_english_-1_6_9,phrases,english,6,9,0.2832,1219.9778,2556,124095,206,88.6392857142857,77428
20250821_173639_phrases_english_-1_6_10,phrases,english,6,10,0.2871,1243.96,2468,125638,116,89.7414285714286,77916
20250821_173744_phrases_english_-1_6_11,phrases,english,6,11,0.2896,1247.6356,2417,126211,64,90.1507142857143,78124
20250821_173850_phrases_english_-1_6_12,phrases,english,6,12,0.2913,1249.0978,2382,126624,27,90.4457142857143,78278
20250821_173954_phrases_english_-1_6_13,phrases,english,6,13,0.2927,1249.4178,2366,126799,9,90.5707142857143,78352
20250821_174055_phrases_english_-1_6_14,phrases,english,6,14,0.2928,1249.4178,2362,126842,4,90.6014285714286,78373
20250821_174202_phrases_english_-1_6_15,phrases,english,6,15,0.2927,1249.4267,2359,126869,0,90.6207142857143,78376
20250821_174303_phrases_english_-1_6_16,phrases,english,6,16,0.2927,1249.4267,2359,126869,0,90.6207142857143,78376
20250821_174405_phrases_english_-1_6_17,phrases,english,6,17,0.2927,1249.4267,2359,126869,0,90.6207142857143,78376
20250821_174506_phrases_english_-1_6_24,phrases,english,6,24,0.2927,1249.4267,2359,126869,0,90.6207142857143,78376
20250821_174605_phrases_english_-1_6_48,phrases,english,6,48,0.2927,1249.4267,2359,126869,0,90.6207142857143,78376
20250821_174706_phrases_english_-1_7_0,phrases,english,7,0,0.2257,620.9244,3223,109292,1073,78.0657142857143,75469
20250821_174816_phrases_english_-1_7_1,phrases,english,7,1,0.227,631.0978,3220,109292,1070,78.0657142857143,75375
20250821_174926_phrases_english_-1_7_2,phrases,english,7,2,0.2266,641.2,3197,109357,1047,78.1121428571429,75242
20250821_175037_phrases_english_-1_7_3,phrases,english,7,3,0.2283,659.9422,3154,109572,1004,78.2657142857143,75177
20250821_175144_phrases_english_-1_7_4,phrases,english,7,4,0.2362,695.0933,3060,110363,910,78.8307142857143,75134
20250821_175252_phrases_english_-1_7_5,phrases,english,7,5,0.2358,778.1289,2934,111748,784,79.82,75148
20250821_175400_phrases_english_-1_7_6,phrases,english,7,6,0.2455,887.64,2748,113674,598,81.1957142857143,75290
20250821_175508_phrases_english_-1_7_7,phrases,english,7,7,0.2617,1008.7733,2577,116381,427,83.1292857142857,75452
20250821_175616_phrases_english_-1_7_8,phrases,english,7,8,0.279,1165.6267,2410,121097,260,86.4978571428571,76252
20250821_175725_phrases_english_-1_7_9,phrases,english,7,9,0.2862,1227.8444,2302,123686,152,88.3471428571429,76823
20250821_175833_phrases_english_-1_7_10,phrases,english,7,10,0.2887,1250.7156,2234,125113,83,89.3664285714286,77280
20250821_175938_phrases_english_-1_7_11,phrases,english,7,11,0.2924,1254.1422,2197,125607,45,89.7192857142857,77469
20250821_180043_phrases_english_-1_7_12,phrases,english,7,12,0.2934,1255.3289,2171,125965,18,89.975,77607
20250821_180150_phrases_english_-1_7_13,phrases,english,7,13,0.2946,1255.6311,2159,126118,5,90.0842857142857,77672
20250821_180255_phrases_english_-1_7_14,phrases,english,7,14,0.2946,1255.6311,2157,126149,2,90.1064285714286,77690
20250821_180359_phrases_english_-1_7_15,phrases,english,7,15,0.2946,1255.6356,2155,126164,0,90.1171428571429,77691
20250821_180459_phrases_english_-1_7_16,phrases,english,7,16,0.2946,1255.6356,2155,126164,0,90.1171428571429,77691
20250821_180601_phrases_english_-1_7_17,phrases,english,7,17,0.2946,1255.6356,2155,126164,0,90.1171428571429,77691
20250821_180701_phrases_english_-1_7_24,phrases,english,7,24,0.2946,1255.6356,2155,126164,0,90.1171428571429,77691
20250821_180803_phrases_english_-1_7_48,phrases,english,7,48,0.2946,1255.6356,2155,126164,0,90.1171428571429,77691
20250821_180903_phrases_english_-1_8_0,phrases,english,8,0,0.2316,649.1689,2889,109018,915,77.87,74606
20250821_181009_phrases_english_-1_8_1,phrases,english,8,1,0.2315,657.3067,2887,109018,913,77.87,74543
20250821_181115_phrases_english_-1_8_2,phrases,english,8,2,0.2312,664.3556,2869,109078,895,77.9128571428572,74428
20250821_181221_phrases_english_-1_8_3,phrases,english,8,3,0.2325,679.1778,2836,109265,862,78.0464285714286,74374
20250821_181329_phrases_english_-1_8_4,phrases,english,8,4,0.2402,712.1956,2760,109979,786,78.5564285714286,74316
20250821_181436_phrases_english_-1_8_5,phrases,english,8,5,0.24,794.3644,2653,111281,679,79.4864285714286,74316
20250821_181542_phrases_english_-1_8_6,phrases,english,8,6,0.2496,900.1733,2491,113095,517,80.7821428571429,74452
20250821_181647_phrases_english_-1_8_7,phrases,english,8,7,0.2618,1015.8711,2344,115664,370,82.6171428571429,74580
20250821_181753_phrases_english_-1_8_8,phrases,english,8,8,0.2772,1170.4267,2195,120281,221,85.915,75361
20250821_181857_phrases_english_-1_8_9,phrases,english,8,9,0.284,1232.3556,2098,122819,124,87.7278571428572,75917
20250821_182001_phrases_english_-1_8_10,phrases,english,8,10,0.2875,1254.6133,2041,124179,66,88.6992857142857,76350
20250821_182107_phrases_english_-1_8_11,phrases,english,8,11,0.2902,1257.7244,2011,124630,36,89.0214285714286,76527
20250821_182212_phrases_english_-1_8_12,phrases,english,8,12,0.2914,1258.8222,1989,124960,13,89.2571428571429,76647
20250821_182315_phrases_english_-1_8_13,phrases,english,8,13,0.2933,1259.0711,1980,125093,3,89.3521428571429,76703
20250821_182419_phrases_english_-1_8_14,phrases,english,8,14,0.2933,1259.0711,1978,125124,0,89.3742857142857,76721
20250821_182522_phrases_english_-1_8_15,phrases,english,8,15,0.2933,1259.0711,1978,125124,0,89.3742857142857,76721
20250821_182622_phrases_english_-1_8_16,phrases,english,8,16,0.2933,1259.0711,1978,125124,0,89.3742857142857,76721
20250821_182724_phrases_english_-1_8_17,phrases,english,8,17,0.2933,1259.0711,1978,125124,0,89.3742857142857,76721
20250821_182826_phrases_english_-1_8_24,phrases,english,8,24,0.2933,1259.0711,1978,125124,0,89.3742857142857,76721
20250821_182929_phrases_english_-1_8_48,phrases,english,8,48,0.2933,1259.0711,1978,125124,0,89.3742857142857,76721
